feature,construct,status,evidence_grade,formula_frozen,primary_source_1,primary_source_2,logical_constraint,confirmatory_allowed,decision_note
ADI,intermittence,admitted_anchor,A,true,https://doi.org/10.1057/palgrave.jors.2601841,https://doi.org/10.1057/palgrave.jors.2602211,Exact identity with zero_ratio; zero_ratio excluded,true,Frozen literature anchor for demand occurrence interval.
CV2,positive_demand_variability,admitted_anchor,A,true,https://doi.org/10.1057/palgrave.jors.2601841,https://doi.org/10.1057/palgrave.jors.2602211,Uses positive demand events only,true,Frozen literature anchor for event-size variability.
nonzero_mean,positive_demand_size,admitted_supplementary,B,true,https://doi.org/10.1057/jors.1972.50,protocol/feature_dictionary_v3.md,mean_sales is excluded because mean_sales=nonzero_mean/ADI,true,Separates event size from occurrence frequency and supports impact-aware routing.
acf1,serial_dependence,admitted_supplementary,B,true,https://doi.org/10.1007/s10618-005-0039-x,protocol/feature_dictionary_v3.md,Zero-variance pairs return 0 with a separate flag,true,Measures whether recent weekly demand contains persistence useful to Naive or SES.
trend_coef,lifecycle_direction,admitted_supplementary,B,true,https://doi.org/10.1007/s10618-005-0039-x,protocol/feature_dictionary_v3.md,Scale normalized by mean positive demand,true,Represents growth or decline over the SKU-specific observed window.
peak_ratio,extreme_event_concentration,admitted_supplementary,B,true,protocol/feature_dictionary_v3.md,upload/论文研究进展总结_2026-08-16.docx,Compared with CV2 in redundancy diagnostics but not an exact identity,true,Represents replenishment risk from a single unusually large demand event.
trailing_zero_share,recent_dormancy,admitted_supplementary,B,true,https://doi.org/10.1080/00207543.2022.2153941,protocol/feature_dictionary_v3.md,Distinct from overall intermittence because position in time matters,true,Represents recent inactivity and possible lifecycle decline.
promo_response_index,promotion_calendar_response,admitted_supplementary,B,true,upload/论文研究进展总结_2026-08-16.docx,protocol/feature_dictionary_v3.md,Direct promo_weight_ratio retained only for profile; normalized index enters Ward,true,Uses the user-provided Amazon promotion-month distribution and corrects unequal calendar coverage.
seasonality_idx,annual_seasonal_dependence,exploratory_only,B,true,https://pkg.robjhyndman.com/tsfeatures/articles/tsfeatures.html,protocol/feature_dictionary_v3.md,Requires at least 104 observed weeks,false,Evaluated only on the long-history sensitivity sample because 32 main-sample SKUs have 30 weeks.
approx_entropy,irregularity,exploratory_only,B,true,https://doi.org/10.1080/00207543.2022.2153941,https://github.com/lily940703/fide,Not used to select the business-facing main solution,false,Technical sensitivity only because small-business interpretability is weak.
promo_weight_ratio,direct_promotion_exposure,profile_only,B,true,upload/论文研究进展总结_2026-08-16.docx,protocol/feature_dictionary_v3.md,Deterministically related to promo_response_index through observed-window mean weight,false,Reported for cluster profiles but unequal calendar coverage prevents main-distance use.
zero_ratio,intermittence,rejected_exact_identity,A,true,https://doi.org/10.1057/palgrave.jors.2601841,,ADI=1/(1-zero_ratio),false,Profile and identity check only.
mean_sales,overall_scale,rejected_exact_identity,B,true,protocol/feature_dictionary_v3.md,,mean_sales=nonzero_mean/ADI,false,Profile only because ADI and nonzero_mean already separate frequency and event size.
std_sales,absolute_variability,rejected_construct_duplicate,B,true,protocol/feature_dictionary_v3.md,,Overlaps CV2 and scale and would double weight variability,false,Profile only.
median_sales,typical_week,profile_only,B,true,protocol/feature_dictionary_v3.md,,Often equals zero in intermittent series,false,Profile only.
